property_type,stars,score,area,ghg_total,ghg_intensity,electricity,natural_gas,eui_site,eui_source,eui_site_wn,eui_source_wn
Multifamily Housing,1,14,353135,2392.4,10.1,8998699.6,18600712.2,116,188.1,119.2,190.8
K-12 School,4,78,98900,458.8,4.6,1704448.1,3629759.9,53.9,86.8,59.2,93.1
K-12 School,2,26,140838,1111.1,7.9,4481327.7,7751970.2,86.9,146.9,90.5,151
Multifamily Housing,3,62,80457,464.1,5.8,1860328.2,3271503.8,63.8,107.4,64.8,108.1
Office,3.5,53,638592,6532.1,10.2,31463456.1,30530798.1,97.1,188.2,101.5,192.8
Multifamily Housing,3,43,104500,614.2,7,1708541.9,6542596.4,93.8,132.4,102.9,141.5
Multifamily Housing,3,48,204813,1160.9,7.4,4917504,7406928.1,78.4,137,80.7,139
Multifamily Housing,1.5,37,148157,1145.5,7.7,5502344.4,5397899.8,73.6,142.2,77.3,150.4
Multifamily Housing,3.5,53,180351,1231.3,6.8,3265741.3,13586599.8,93.4,129.8,98.8,135.2
Multifamily Housing,3.5,78,475020,2235.5,4.7,7579433.3,19817492.8,57.7,88.5,59.5,90.4
Multifamily Housing,4,94,81300,375.1,5.2,997624.4,4131599.4,70.6,98.1,74.2,101.7
Senior Living Community,3,65,69455,508.9,7.3,1878200.2,4062399.6,85.5,137.1,88.8,140.3
Multifamily Housing,4,92,88080,417.6,4.7,2168049.7,1491337.5,41.5,86.7,43,89.2
Multifamily Housing,4,98,127872,243.8,3.8,904118.5,1933907.4,44,70.8,45.8,72.5
Multifamily Housing,1,17,160000,1131.1,7.1,2879608.5,12834131.1,98.2,134.6,107.5,142.7
Multifamily Housing,1,4,354934,2916.9,11.2,10694320.7,23494153,131.5,210,137.5,215.6
Office,4,68,329845,2647.9,9.4,16202311.9,2245160.3,65.3,169,68.4,175.1
Multifamily Housing,1,9,103330,1389.5,15.2,3471545.9,15959119.9,213.1,290.4,227,305
Multifamily Housing,1,11,333000,3042.4,9.4,7061555.3,36530711,134.1,178.9,137.6,182.5
K-12 School,2.5,33,53700,404.5,7.5,763518.4,5371580.2,114.2,144.8,122.8,153.8
Office,3,42,636217,6624,10.4,29743740.4,37313760.5,105.4,192.5,108.7,195.4
K-12 School,2.5,34,60929,425.7,7,800519.2,5661870.2,106.1,134.4,118.1,147.4
K-12 School,2.5,34,113870,870.9,7.6,3054648.8,7421690.2,92,143.5,96.3,148.1
Supermarket/Grocery Store,3.5,72,142374,2982.1,20.9,15137211,11667060,188.3,383.7,196,391.1
Multifamily Housing,4,66,77900,475.1,6.5,1477795.2,4602635.9,83.3,122.9,90.8,129.8
Multifamily Housing,1,11,57600,570.1,9.9,1467088.3,6422899.9,137,188.4,151.2,203.3
K-12 School,3,47,70600,441.7,6.3,1412518.4,4165479.8,79,118,84.1,123.3
Multifamily Housing,4,91,65918,281.6,4.6,738998.3,3130799.8,63.5,87.9,65.8,90.3
Hotel,2,19,160000,2140.2,13.4,11048462,7829400.3,118,244.7,126.2,260.8
K-12 School,2,21,69366,611.2,8.8,1435152.1,7289270,125.8,168.3,134.4,177.3
Multifamily Housing,4,93,244440,1303,5.3,3405630,14525287.2,73.4,101.4,77.2,104.4
K-12 School,4,86,187689,775.8,4.1,3124802.2,5425012.1,45.6,77,49,80.3
Multifamily Housing,4,81,406524,1813.5,5,3156806.2,24867980.7,77.8,97,82.8,102.1
Multifamily Housing,1.5,32,403018,2333.7,8.5,10323384.3,13603403.2,87.6,158.2,90,159.4
Multifamily Housing,2,45,136591,921.9,6.7,2001486,11475810.2,98.7,129.2,104.5,135.2
Multifamily Housing,2,43,86580,501.7,5.8,1952011.8,3710472.5,65.4,108.1,67.6,110.5
Multifamily Housing,1,11,53143,1254.3,10.9,3780912.2,12504795.5,141.9,206.7,147.7,212.1
K-12 School,3,41,77300,523.3,6.8,2001866.3,3969969.9,77.3,126.4,81.6,131
Multifamily Housing,1.5,32,275000,1750.6,7.8,6539879.4,13742321.9,90.1,145.5,94.5,151.3
Multifamily Housing,3,68,38456,285.9,7.4,1158995.8,1977413.1,81.6,138.4,83.4,142.3
K-12 School,4,69,56857,284.3,5,972862.6,2493320.1,61,94,65.4,98.6
Multifamily Housing,4,90,80576,291.9,3.8,1417133.3,1331337.6,36.2,70.7,37.3,72.7
K-12 School,2,23,62706,507.5,8.1,1664651.4,4664039.9,100.9,152.4,110.5,162.5
Multifamily Housing,4,99,139200,437.3,3.6,1595939.1,3543598.9,42.8,68.2,44.8,70.6
Multifamily Housing,2.5,60,810159,4566.4,6.4,15394169.5,40738355.7,78.3,119.7,81.6,123.4
Multifamily Housing,3,69,583000,4037,6.9,11024196.2,43612026.6,93.7,131.5,98.2,135.9
Supermarket/Grocery Store,2,47,63407,1828.1,28.8,10120207.2,4681600.1,233.4,524.4,236.2,525.8
Multifamily Housing,3.5,71,104076,555,5.3,1797881.7,5165909.8,66.9,100.5,70.1,103.5
Multifamily Housing,4,88,1210471,4848.9,4.6,21300474.5,28702301.1,47.9,86.1,50.1,88.7
Multifamily Housing,4,92,80500,425.3,5.3,1221577.8,4417955.7,70.1,100.1,76.6,107
Multifamily Housing,4,83,620690,2713,5.4,10359889.6,20637320.7,61.1,100,63.9,102.5
Multifamily Housing,4,86,122864,431,5.1,1939674.2,2415054,51.8,94.8,52.7,94.8
