property_type,stars,score,area,ghg_total,ghg_intensity,electricity,natural_gas,eui_site,eui_source,eui_site_wn,eui_source_wn
Worship Facility,1.5,34,84000,445.2,5.3,1144743.7,4796508.5,70.7,98.1,68,95.3
Office,4,61,1601672,14964.7,9.3,89602395.5,1094035.1,56.6,157.4,55.9,155.3
Multifamily Housing,3,63,387600,2485.2,6.4,9059324,18413007.3,70.9,115.3,71.1,114.4
Multifamily Housing,4,96,87196,439.3,5,1702792.7,2937130.1,53.2,90,53.2,90
Multifamily Housing,3,66,65000,370,5.7,1047026.8,3686418.2,72.8,104.7,69.3,99.4
K-12 School,3,42,85500,716.5,8.4,2896345.1,4417842.2,85.5,149.1,86.3,149.6
Office,4,62,671697,6484.6,9.7,25227638.8,28118479.8,101.9,169.5,102,169.7
Multifamily Housing,3,49,220319,2239.3,10.2,8681274.4,14969340,107.3,181.7,107.9,181.2
K-12 School,1.5,33,140838,1141.8,8.1,4700234.7,6775797.1,81.5,144,81.6,144.1
K-12 School,3,70,388970,2740.4,7,12493034.6,12463327,64.2,123.6,62.9,122.2
Multifamily Housing,1,14,220820,2301,10.4,5143439.9,27210961,146.5,194.6,148.8,197
Multifamily Housing,1,11,59310,609.4,10.3,1800239.4,5834000,128.7,188.3,126,185.4
K-12 School,1,23,102055,901.7,8.8,4805030.9,1926300.9,66,151.7,64.8,150.1
Multifamily Housing,3.5,75,59706,412.1,6.9,1226753.6,3915941.6,86.1,126.4,87.9,127.9
K-12 School,1,20,81350,710.8,8.7,2956983.2,4119764.4,87,155,86.7,154.6
Senior Care Community,1,6,67004,1286.5,19.2,3807044.8,12297738.9,240.4,351.8,237.9,348.4
Multifamily Housing,3.5,76,367510,2366.8,6.4,7017242,22581813,80.5,118,81.4,118.9
Multifamily Housing,4,70,273143,2031.1,7.4,6396015.8,18207088.4,90.1,135.6,91.2,136.8
Multifamily Housing,4,76,53200,318.7,6,1005212.7,2852280.2,72.5,109.2,73.3,110
Senior Care Community,1,11,83872,1544.7,18.4,6413614.9,8994533.1,183.7,326.7,185.2,327.1
K-12 School,1,22,79722,651.3,8.2,2675735.4,3881783.6,82.3,145.1,81.3,144.1
Residence Hall/Dormitory,4,88,246327,1328.5,5.4,7157581,2592267.8,39.6,92.4,39.5,92.2
Multifamily Housing,3,50,149524,1002.4,6.7,3055268.6,9302742,82.6,122.5,79.8,119.6
Multifamily Housing,1.5,36,278000,2140.4,7.7,7582849.3,16547123,86.8,138.9,87.4,139.5
Multifamily Housing,1,21,267196,2579,9.7,9898225.6,17552138.7,102.7,172.7,99,166.2
Multifamily Housing,1.5,35,75600,515.2,6.8,737766.5,7388644.9,107.5,129.9,108.8,130.9
Multifamily Housing,4,86,64440,289.2,4.5,583349.6,3617163,65.2,84.3,62.6,81.1
Multifamily Housing,1,8,148138,1688.6,11.4,7976365.5,6807900.1,99.8,199,99.8,199
K-12 School,2,47,65590,483.9,7.4,1695624.4,3800149.9,83.8,133.2,82.1,131.4
Multifamily Housing,2,45,473000,3858.3,8.2,12588826.5,33209738.2,96.8,148.2,96.9,146.6
Office,2,39,238531,2308.4,9.7,9876259.2,12527040.1,93.9,171.1,92.9,169.6
Senior Care Community,1,25,60000,549.5,9.2,1823557,4633399.7,107.6,166.2,107.8,166.4
Residence Hall/Dormitory,4,94,85129,388,4.6,2044601.1,900100.1,34.6,78.4,34.8,78.2
K-12 School,3,68,68750,372,5.4,868613,4283954.2,74.9,100.8,71.9,97.7
Multifamily Housing,4,90,52100,244.2,4.7,658642.2,2534835.7,61.3,86.5,58.8,82.8
Office,3,61,105313,1012.5,9.6,4485592.6,5012830.8,90.2,169.2,87.4,164.4
Multifamily Housing,2.5,52,452227,3593.3,7.9,13452471.9,25516667.8,86.2,142.5,87,143.3
Multifamily Housing,4,87,275772,1669,6.1,5444456.7,14370427.8,71.9,110,72.9,111.1
Office,4,67,1392096,15408.6,11.1,92203670.2,1303262.6,67.2,186.4,67.2,186.4
Office,1.5,30,64464,692.9,10.7,2558877.2,5029599.8,117.7,193.1,115.7,190.6
K-12 School,1,10,233000,2947.9,12.7,13522834.2,13145329.7,114.5,221.7,115,222
Multifamily Housing,4,81,239996,1516.8,6.3,3319476.8,18159890.2,89.5,118.2,90.9,119.7
Multifamily Housing,1,1,220876,2418.9,11,1866416.9,39694344.8,188.2,212.4,188.7,213
K-12 School,3,61,165000,1027.4,6.2,3112286.5,9594000.2,77,113.9,74.6,111.3
Multifamily Housing,4,93,169705,854.2,5,3382953.6,5485699.7,52.3,89.8,50.8,86.3
Multifamily Housing,3.5,80,99000,583.5,5.9,1516896.7,6234386.3,78.3,109,78.6,107.9
Multifamily Housing,4,79,268851,1753.2,6.5,4384365.4,19275571.1,88,120.9,88.9,121.9
Multifamily Housing,4,93,158002,728.3,4.6,1266882.4,9743511.6,69.7,87.2,70.4,88
K-12 School,3,68,218950,1494.7,6.8,4565215.1,13841232.3,84.1,124.8,85.9,126.9
Multifamily Housing,4,98,278604,924.5,3.3,2865274.8,8430334.2,40.5,60.6,41.1,61.2
Multifamily Housing,4,93,255892,1575.8,6.2,5959160.4,11003305.1,66.3,110.4,66.3,110.4
Multifamily Housing,3.5,79,192241,1188.4,6.2,2882198.3,13347570.3,84.4,114.9,85.7,116.2
Multifamily Housing,1,24,58442,596.4,10.2,2666843.1,2875160.1,94.8,179.4,92.3,174.8
Office,1,17,167574,2541.7,15.2,13894906,1220719.3,108.9,256.8,108,255.6
Hotel,3,50,85000,899.5,10.6,3764626.8,5144000.1,104.8,187.6,104.8,187.6
Multifamily Housing,2,26,457225,4651.6,10.2,22083562.7,18407155.1,88.6,177.5,88.1,176.1
K-12 School,3,68,204041,1144.6,5.6,2505418.6,13701312.9,79.4,104.9,81.9,107.5
Senior Care Community,2,45,54800,274.7,5,995498.8,2053100.1,55.6,90.2,57,91.4
Office,1,6,66030,1237.2,18.7,6548467.4,2782192.4,141.3,321.9,140,318.4
Multifamily Housing,3,69,107344,763.7,7.1,2691204.8,5949466.1,80.5,128.4,77.4,124
Multifamily Housing,4,100,91167,391.9,4.3,1464409.9,2791539.2,46.7,77.1,46.8,77.2
Office,3.5,71,81000,378.9,4.7,987942.2,4038484.9,62.1,86.5,61,85.4
K-12 School,2.5,54,298432,2185.5,7.3,8731413.8,13799311.1,75.5,130.5,73.3,127.5
Multifamily Housing,4,92,84012,451.9,5.4,2007098.8,2220592.2,50.3,94.6,48.4,90.7
Multifamily Housing,3,66,77800,424.4,5.5,1587122.5,3019723,59.2,97.9,56.7,94.3
Multifamily Housing,2.5,53,64292,454.1,7.1,841767.7,5912899.5,105.1,133.2,105.3,132.9
Senior Care Community,3.5,76,120000,927.7,7.7,3913151.1,5209600.4,76,136.9,74.9,135.1
Multifamily Housing,1,8,54000,649.8,12,2316854.5,4976510.5,135.1,216.9,130.6,207.2
K-12 School,1.5,39,54740,454.6,8.3,2073734.8,2063299.7,75.6,145.7,74.4,144.1
Multifamily Housing,2,42,188837,1884.7,10,8288502.1,9522600,94.3,175.8,92.7,171
Multifamily Housing,4,96,62000,274.8,4.4,132419.7,4758399.9,78.9,86.6,77.8,85.5
Multifamily Housing,3,46,73500,542.5,7.4,1275333.9,6218799.9,102,137.4,104.8,139.7
Wholesale Club/Supercenter,1,16,141676,2447.7,17.3,11748877.4,9284660.2,148.5,301,145.9,298.3
Office,1.5,21,92168,883.4,9.6,2969132.6,7332615.1,111.8,173.7,108.8,170.6
Multifamily Housing,3.5,71,506955,3209.4,6.3,10240237.7,28350510.8,76.1,115.3,72.9,109.9
Multifamily Housing,4,82,60820,405.1,6.7,859899.1,4933947.9,95.3,124.8,97.4,125.6
Multifamily Housing,4,76,220800,1407.3,6.4,3844965.7,14452588.8,82.9,117.5,82.6,117.2
Office,4,54,265117,2979.8,11.2,11419605.7,20333530.9,119.8,201.1,120,201.4
Hotel,1,17,359801,5343.1,14.9,23590800,26704437.3,139.8,261.5,139.6,259.7
K-12 School,1,16,69921,528.3,7.6,1271292.4,5965408.6,103.5,140.5,108.1,145.1
Multifamily Housing,4,94,201765,1049.5,5.2,4781771.3,4782126.4,47.4,91.2,46.3,89.2
Multifamily Housing,4,86,67988,374.5,5.5,805883.4,4527225,78.4,103.1,79.4,104.2
Multifamily Housing,2,43,1192576,8949,7.5,39106433.3,45996786.5,71.4,132.3,69.7,128.5
Mixed Use Property,1,20,1511361,16666.1,11,69228047,96941972.9,109.9,195.6,110.6,195.5
K-12 School,2.5,57,112806,769.5,6.8,3415456.4,3790318.8,63.9,120.1,64.2,120.3
Multifamily Housing,3.5,75,119250,737.7,6.2,1728232.6,8475781.5,85.6,115.2,83.4,112.8
Multifamily Housing,1.5,37,75000,587.3,7.8,2151560.8,4317936.4,86.3,140.8,86.7,140.1
K-12 School,1,30,105599,909.5,8.6,4771484.1,2178232.9,65.8,148.2,64.8,146.9
Multifamily Housing,2.5,52,142744,1061.2,7.4,2887700.1,10933768.8,96.8,137.1,98.1,138.5
K-12 School,3,67,155337,989,6.4,3330369.3,8189204.7,74.2,115.4,74.6,116
Office,4,50,741315,7760.5,10.5,45545389.1,3452100,66.1,176.9,64.7,172.9
Office,3,53,137554,1562.4,11.4,6963168.7,7606129.6,105.9,199.8,106.8,200.7
Multifamily Housing,4,89,120120,579.9,4.8,681751.7,8782599.7,78.8,92.7,79,92.9
Multifamily Housing,1,22,201415,1485.3,7.4,7250025.7,5254782.3,62.1,128.2,61.4,125.5
K-12 School,4,82,85474,379.3,4.4,1829620.2,1409626.5,37.9,77.3,38,77.9
Multifamily Housing,4,83,84456,536.2,6.3,1325845.2,5941799.6,86.1,117.8,87.3,118.8
Office,4,77,226740,2370.8,10.5,12052712.6,6885199.8,83.5,180.7,83.2,178.9
Multifamily Housing,1,24,120050,967.3,8.1,3089501.2,8534883.6,96.8,146.7,96.5,145.7
K-12 School,3,68,73514,401.4,5.5,1158908.3,3926917.5,69.2,100.2,66.4,97.3
K-12 School,3.5,79,56581,295.3,5.2,970889.4,2519496.9,61.7,94.8,61.6,94.7
Senior Care Community,4,68,56000,680,12.1,2134124.1,6118153.7,147.4,221.4,147.4,221.4
K-12 School,1,26,87628,658,7.5,1329938.9,8222803.1,109,141,111.7,144.1
Multifamily Housing,0,62,155000,1080.7,7,2686445,11932730.2,94.3,129.4,93.7,127.8
Office,1,18,111033,1829.7,16.5,10181145.3,2559900.1,114.8,281,113.3,277.3
Office,4,54,94925,713,7.5,3362015.2,2893344.7,65.9,131.2,64.1,128.8
Multifamily Housing,2,47,365977,2909.1,7.9,10470592.1,21975128.4,88.7,143.2,88.9,142
Hotel,1,10,128451,2689.6,20.9,12807795,10521594.8,181.6,365.2,179.6,363.1
Office,1.5,23,78868,986.1,12.5,3507286.9,7580400.2,140.6,225.4,137.2,221.8
Multifamily Housing,4,96,247000,975.6,3.9,1824256.5,12653555.1,58.6,74.5,59.5,75.4
Multifamily Housing,4,94,94556,357.5,3.8,1070326.7,3378112.3,47,69.2,47.4,69.5
Multifamily Housing,4,93,107160,554.9,5.2,1380474,6123089.8,70,96.1,71.8,97.2
Multifamily Housing,4,97,78904,343.3,4.4,1050708.3,3172152.7,53.5,79.5,53.4,79.4
Multifamily Housing,4,94,78210,391.7,5,1583040,2415922.4,51.1,89.1,49,85.9
Multifamily Housing,4,74,62800,471.4,7.5,2262607.7,1787545.3,64.5,130.8,64.5,130.8
Multifamily Housing,4,51,255605,1954.1,7.6,7279996.7,13987672,83.2,137.2,82.3,136.3
Multifamily Housing,1,13,59752,583.1,9.8,3209060.7,926663.3,69.2,166.7,69.2,166.7
Residence Hall/Dormitory,3.5,57,338679,3588.7,10.6,11271340.7,584920,114.9,183.9,115,184.1
Multifamily Housing,4,81,278070,1910,6.9,4905869.1,20594077.1,91.7,127.2,92.8,128.3
Multifamily Housing,3,58,108000,796.1,7.4,3420871.2,4274111.1,71.2,130.2,68.6,126
Multifamily Housing,1,27,303979,2615,8.6,2480036.1,41464762.2,144.6,166.1,146.9,168.4
K-12 School,1,27,51900,411.9,7.9,1363139,3486133.7,93.4,144.1,91.1,141.8
Multifamily Housing,1,7,52240,576.8,11,2199527.7,3970900.1,118.1,197.7,117,193.2
K-12 School,2,20,63300,554.9,8.8,2198167,3562398.4,91,156.3,89.4,154.7
Multifamily Housing,2,29,312000,2151.1,6.9,7201749.3,17942174.9,80.6,125,79.3,122.9
Multifamily Housing,4,93,231229,1098.8,4.8,1858086.5,14867110,72.3,90,72.9,90.2
Financial Office,4,58,2429909,30285.9,12.5,180996875.8,2855242.6,75.8,210,75.9,209.9
Supermarket/Grocery Store,2.5,36,70262,2219.4,31.6,11561234.4,5572400,243.9,544,243.2,542.1
Multifamily Housing,1.5,33,779480,6398.4,8.2,16325041.6,69331333.7,109.9,152,111.4,153.7
Multifamily Housing,2.5,55,195769,1547,7.9,6781936.9,7882949.6,74.9,139.3,74.5,136.9
Multifamily Housing,2.5,58,103000,651.9,6.3,359089.1,11148099.9,111.7,123.4,116.2,128
Multifamily Housing,3,61,862821,5942.3,6.9,18403877.6,54232306.6,84.2,125.7,81.8,122.7
Multifamily Housing,2.5,54,261137,1799,6.9,2928567.7,24697668.9,105.8,130.7,107.6,132.6
Multifamily Housing,3.5,80,125000,674.4,5.4,2152296.4,5955930.1,64.9,98.2,62.4,94.4
Multifamily Housing,4,73,64000,461.5,7.2,1853388.2,2882689.7,74,128.4,74.6,129
Multifamily Housing,4,94,210000,1003.9,4.8,2539810.9,10946312.7,64.2,88.6,64.3,88.6
K-12 School,3,69,91342,506.3,5.5,974278.5,6481241.8,81.6,104.4,81.5,104.1
Multifamily Housing,4,73,71193,418,5.9,188325.3,7279500.5,104.9,114.8,102.7,112.5
Multifamily Housing,2.5,58,106015,866.7,8.2,4175452.1,3239800.3,69.9,142.4,68.9,140.3
Multifamily Housing,4,83,56500,325.5,5.8,857019.3,3443153.3,76.1,106.5,76.2,106.6
Multifamily Housing,3,69,291997,1925.9,6.6,2543535.1,28291820.6,105.6,126.1,106.1,126.7
Office,4,69,1364257,16762.2,12.3,98001681.8,8548577.4,78.1,207.8,77.2,205.1
Multifamily Housing,1.5,39,380277,3114.3,8.2,9466737.3,28981541.3,101.1,149.7,98.3,144.8
Multifamily Housing,4,96,299019,1170.3,3.9,2562896.5,14006942,55.4,73.2,55.4,73.1
Multifamily Housing,1,24,270582,2501.1,9.2,9094283.4,18603228,102.4,166.3,98.6,159.7
K-12 School,1,25,90969,709.4,7.8,2109697.3,6747715.2,97.4,142.8,94.5,139.8
Multifamily Housing,3.5,75,442410,2387.5,5.4,6829435.3,23558952.6,68.7,99.1,67.9,97
Multifamily Housing,4,100,542774,1631.8,3,1751191.9,25237999.3,49.7,57.9,48.8,56.9
Hotel,1.5,38,135000,1737.5,12.9,8900553.4,4833399.7,101.7,222.2,100.9,219.8
K-12 School,2,42,70559,600.7,8.5,2413279.6,3750750.9,87.4,151.6,84.8,148.8
Multifamily Housing,2.5,32,313462,2736,8.7,8319049.7,25453681.6,107.7,159.6,106.7,156.6
Worship Facility,1,9,160000,1827.4,11.4,8300638.5,8405631.2,104.4,200.4,104.8,200.4
Multifamily Housing,1,23,94952,1109.7,11.7,4940831.9,5416810.2,109.1,205.6,106.9,203.3
Hospital (General Medical & Surgical),3.5,60,312898,7275.1,23.3,34747057.4,28136130.3,201,405.4,201,404.4
Multifamily Housing,3.5,51,161500,1316.8,8.2,7546757.1,1153667.8,53.9,138.3,52.6,134.8
Multifamily Housing,2,21,474980,4553.2,9.6,15678491.4,36615683.7,110.1,173.4,111.6,174.9
Worship Facility,1.5,31,145300,1134.1,7.8,4669291.3,6727000.2,78.4,138.6,78.9,139.1
Multifamily Housing,4,91,175279,1027.3,5.9,2432121.4,11723896.5,80.8,109.1,81,108.3
Multifamily Housing,1,18,163945,1689.8,10.3,5564688.8,14384999.5,121.7,187.2,121.7,187.2
Multifamily Housing,4,82,244164,1539.7,6.3,4711299.8,14231470.2,77.6,115.2,77.9,114.8
Multifamily Housing,2.5,34,276168,2074.4,7.5,7391313.2,15904232.4,84.4,135.4,84,134.3
Office,4,75,155385,993,6.4,5588119,1192190,43.6,108.8,43.3,108.2
Multifamily Housing,4,98,129998,508.1,3.9,1806616.5,3908341.8,44,70.5,43.9,69.5
Office,2,36,82717,1163.4,14.1,4586113.6,7539029.4,146.6,250.9,146.7,251.1
Multifamily Housing,4,85,58400,257.7,4.4,269438.8,4008090.1,73.2,85,70.9,82.3
Hospital (General Medical & Surgical),4,94,750000,12815,17.1,74125256.4,9096900.1,111,289.5,110.8,289
Office,4,94,1144347,9070.2,7.9,54505881.1,44603.7,47.7,133.4,47.7,133.4
Multifamily Housing,4,73,150000,815.7,5.4,2198894.1,8470348.1,71.1,100.3,73.4,102.8
Multifamily Housing,1.5,36,51030,357.5,7,789966.7,4256200.2,98.9,130.9,95.3,127.2
Multifamily Housing,4,89,82960,408,4.9,765007.9,5286157.4,72.9,92.7,72.8,92
Multifamily Housing,4,93,240163,1237.3,5.2,6053055.2,4335497,43.3,89.5,42.9,88.4
Multifamily Housing,1,14,57600,587.6,10.2,1460800,6486700.1,138,189.3,141.5,191.6
Senior Care Community,1,4,89813,1575,17.5,4597584.7,15253036.2,221,321.7,222.2,319.9
Multifamily Housing,3.5,58,611963,3992.5,6.5,17974098.7,18868845,60.2,114.6,60.2,114.6
Multifamily Housing,4,100,55932,197.6,3.5,880913.9,960390.4,32.9,62.1,32.9,62.1
Multifamily Housing,2.5,53,160000,1217.2,7.6,6464610.6,2667475.3,57.1,130.6,55.5,125.8
Multifamily Housing,2.5,58,657140,5596.6,8.5,19281321.2,44975910.8,97.8,154,94.9,150.9
Hotel,3.5,60,178845,1761.1,9.8,8112869.4,7745400.3,88.7,172.5,88.2,173.1
K-12 School,1,28,86191,719.3,8.3,2666168.5,5191291.3,91.2,149.9,91.2,149.2
Multifamily Housing,1,13,172118,1833.7,10.7,10310640.9,2228699,72.9,181.3,71.7,178
Hotel,4,96,332424,1994.7,6,10041191.9,6104228.5,48.6,103.9,47.7,101.9
K-12 School,2,42,65017,434.7,6.7,1222401.5,4355260.2,85.8,123,86,123.2
K-12 School,1,5,75834,1048.1,13.8,4561349.3,5446202.9,132,243.8,131.7,243.2
Multifamily Housing,1.5,32,295050,2350.9,8,5576508,26794814.9,109.7,148.3,112.1,148.4
Hotel,2.5,57,286929,2911.4,10.1,9695952.1,24444964.9,119,184.1,119.9,184.8
Multifamily Housing,4,73,133500,790.2,5.9,2145903.4,8155952.4,77.2,109.2,74.7,105.6
K-12 School,2,48,75800,552.7,7.3,1859595.3,4581619.3,85,132.2,82.5,129.6
K-12 School,2,47,100260,693.3,6.9,2507383.6,5199415.1,76.9,124.5,74.6,121.6
K-12 School,2,48,108624,783.4,7.2,4142284,1775161.4,54.5,123.9,53.7,123
Multifamily Housing,2.5,52,164020,1253,7.6,2766562.2,14924196,107.9,142.8,109.5,144.5
Multifamily Housing,4,70,75600,545,7.2,1522605.3,5491972.6,92.8,132.7,93.2,131.9
Supermarket/Grocery Store,2,46,55024,1852.4,33.7,9809459.1,4150800.1,253.7,578.4,254.9,579.2
Multifamily Housing,1,23,53407,475,8.9,975139,5889325.7,128.5,166.9,125.7,163.9
Multifamily Housing,3,47,57000,473.2,8.3,1397869.1,4530009,104,152.1,104.4,152.4
Senior Care Community,1,5,71586,622.7,8.7,2263814.2,4633699.5,96.4,156.5,97,157.1
Multifamily Housing,3.5,74,279996,1638.7,5.9,3106779.5,21120825.7,86.5,110.3,88,111.8
Multifamily Housing,4,77,1647872,11608.8,7,51332209.3,57779275.4,66.2,124,66.6,124.6
Multifamily Housing,4,95,993624,4761.3,4.8,21140847.5,23425900.2,44.9,84.3,44.5,84
K-12 School,3.5,51,80730,687.1,8.5,2661448.4,4600468.4,90,152.1,88.1,150.1
Multifamily Housing,4,87,75435,300,4,498394.3,4087584.4,60.8,75.4,59.3,73
Multifamily Housing,1.5,34,110567,966.6,8.7,3173723,8256837.4,103.4,158.8,98.9,151.5
Multifamily Housing,3,70,1072297,6986.1,6.5,21305026.2,64797001,80.3,119.1,80.2,117
Multifamily Housing,2,43,241280,2367.5,9.8,8635099.8,17527020.8,108.4,176.5,111.3,179.5
Multifamily Housing,3,48,320368,2432.9,7.6,7563571.5,22113583.8,92.6,138.6,93.9,139.7
K-12 School,2,42,115306,832.5,7.2,2615335.2,7481548.7,87.6,131.6,84.7,128.7
Multifamily Housing,2.5,53,333765,2441.5,7.3,5961439.6,27295196.2,99.6,135.9,99.3,134.5
Multifamily Housing,4,95,51368,208.7,4.1,288109.2,3026187,64.5,77.6,62.7,75.7
K-12 School,1.5,38,80028,590.7,7.4,2498268.8,3296283.3,72.4,130.7,70.7,129.4
Multifamily Housing,4,98,387336,1802.1,4.7,7399031.2,10753014.7,46.9,82.6,46.4,82
Multifamily Housing,4,95,261354,1113,4.3,2513060.8,13083449.7,59.7,79.5,60.6,80.4
Multifamily Housing,4,97,99693,647.8,6.5,1305066.1,8109401.2,94.4,122.1,95.3,122.2
K-12 School,2,50,256400,2144.1,8.4,10650257.7,7009491.3,68.9,145,69.1,145.2
Multifamily Housing,4,84,128658,1021.2,7.9,2468950.8,11494027.8,108.5,147.5,106.6,145.1
Multifamily Housing,4,88,54404,311.2,5.7,1158643.5,2229161.7,62.3,102.7,61.9,100.5
Office,4,72,2146502,21007.9,9.8,109063522.3,31287458.5,76,167.2,74.9,164.8
K-12 School,2,45,100107,737.7,7.4,3537640.1,2808766.4,63.4,128.4,64.2,128.8
K-12 School,1.5,36,300000,2256.4,7.5,5900842.5,23999473.7,99.7,139.1,95.8,135.1
Residence Hall/Dormitory,3.5,70,121626,1022.1,8.4,6120524.1,72406.3,50.9,141.5,50.8,141.1
Multifamily Housing,3,61,229582,1498.3,6.5,4833759.9,13068736.6,78,118.7,77.6,117.4
Multifamily Housing,2.5,35,220000,1848.8,8.4,5977554.5,16085832.7,100.3,152.9,97.7,148.5
Multifamily Housing,3.5,72,165000,998.5,6.1,1584614.7,13834789.4,93.5,114.9,93.6,115.1
Office,4,67,125763,1555.6,12.4,7180615.4,6796990.4,111.1,216.6,105.7,210.9
Medical Office,1.5,38,127100,1954.6,15.4,11117159.2,1979667,103,261.3,103,261.3
Multifamily Housing,4,83,952287,5599.2,5.9,20451128.8,41361347.8,64.9,105.7,65.6,106.4
K-12 School,2,41,92238,649.5,7,1292481,8180294.1,102.7,132.4,103.4,133.1
Multifamily Housing,4,99,287000,812.1,2.8,2404637.7,7757175.7,35.4,51.8,35.5,51.9
Multifamily Housing,3,70,605856,3406.3,5.6,11823098.6,27099898.3,64.2,101.6,64.8,101.8
Multifamily Housing,1,1,571181,8571.9,15,49459260.2,6470900.1,97.9,254.4,96.2,249.8
Office,3,53,77000,716.5,9.3,3844737.1,1447070.4,68.7,159.5,68.9,159.8
Hotel,4,77,515556,5055.7,9.8,19359060.2,19582667.3,99.1,172.9,98.2,171.8
Supermarket/Grocery Store,2.5,57,71373,2375.6,33.3,12035140.8,7029599.7,267.1,575.6,263.7,571.5
Multifamily Housing,2,43,367910,3267.7,8.9,8016951.2,36411797.9,120.8,164.9,120,162.8
Multifamily Housing,3.5,73,101428,708.7,7,2145533.8,6623169.8,86.5,127.8,87.4,128.8
Residence Hall/Dormitory,4,92,61053,323.4,5.3,1717296.1,709700.1,39.8,91,40,90.8
Multifamily Housing,3.5,71,77966,558.6,7.2,2521478.2,2618454.5,65.9,125.8,65,122.5
Senior Care Community,1,1,89500,1867.7,20.9,5671344.5,17399675.9,257.8,381.6,259.8,383.2
Multifamily Housing,4,74,683035,4426.1,6.5,12737709.1,43435002.4,82.2,119,82.4,119.2
Multifamily Housing,3.5,77,259048,1415.1,5.5,2887036.5,17598773.9,79.1,102.5,78.8,102.2
Residence Hall/Dormitory,4,79,113750,796.3,7,3642463.5,3583341.9,63.5,122.7,64.2,123.2
Multifamily Housing,2,46,287158,2224.4,7.7,6562473.6,21323666.2,97.1,142,98,142.2
Multifamily Housing,1.5,38,484765,4252.1,8.8,15768602.4,30665852.8,95.8,157.5,96.4,157.4
Multifamily Housing,3.5,80,159276,1116.5,7,3356585.7,10506610.8,87,128.3,87.1,127
Office,1,4,58044,1165.3,20.1,6827487.1,553629.6,127.2,339.4,127.2,339.4
K-12 School,1,29,73350,641.5,8.7,3272005.3,1829319.9,69.5,151.1,67.8,148.2
Multifamily Housing,4,78,858191,6498.9,7.6,32340522.6,21060500.1,62.2,131.3,62.1,131
Multifamily Housing,4,99,206933,905.9,4.4,2163839.2,10277236.8,60.1,81.4,60.9,82.2
Senior Care Community,3,69,84139,435.8,5.2,1955809.6,2079400,48,91,48.1,90.7
Hospital (General Medical & Surgical),1,6,1596300,47282,29.6,178539860.5,330969611.8,319.2,530.9,316.1,526
Multifamily Housing,4,83,655191,3606.1,5.5,14686476.3,21891769.3,55.8,97.8,56,97.4
Multifamily Housing,3.5,75,80000,466.4,5.8,856150.3,6099240.3,86.9,110,85.2,108.1
Multifamily Housing,1.5,32,291527,2567.3,8.8,9070378.9,19924314,99.5,158.9,99.4,156.4
K-12 School,3,65,341821,2067.4,6,6116729.9,19765053.7,75.7,110.8,72.5,107.6
Multifamily Housing,4,91,280146,1321.1,4.7,5068734.1,8996726.8,50.2,84.4,48.2,81.4
Office,4,69,434052,3700.2,8.5,19595784.8,8287674.6,64.2,146.5,64.4,146.5
K-12 School,1.5,37,136047,997.8,7.3,3661250,7318476.4,80.7,131.8,78.6,129.6
Office,2,37,1526102,18715.6,12.3,81709961.8,96431814.7,116.7,216.3,115,214.5
Hospital (General Medical & Surgical),3.5,52,394171,8833.9,22.4,33047847.2,191440,211.4,388.1,212.1,389
K-12 School,1.5,36,60475,508.9,8.4,2113184.7,2962119.6,83.9,149.3,85.5,150.9
K-12 School,2,46,185689,1640.7,8.8,6508587.9,10504232.2,91.6,157.5,90.5,156.4
K-12 School,1.5,40,138900,1026.3,7.4,3393464.7,8694072.6,87,134.1,83.6,129.7
Multifamily Housing,1,24,706989,7075.9,10,23269816.1,60334516,118.3,181.8,118.7,180.7
K-12 School,1.5,34,69287,591,8.5,2436868.1,3493957.7,85.6,151.4,81.8,146.9
Multifamily Housing,3.5,71,417000,2479.3,5.9,10769735.7,12946199.7,56.9,104.9,56,102.5
Multifamily Housing,2,45,101893,877.2,8.6,3778643.3,4679688.5,83,152.1,82.8,151.3
Residence Hall/Dormitory,4,66,73000,669.3,9.2,3575663.4,1401287.2,68.2,157.3,68.2,157.3
K-12 School,2,42,118800,849.3,7.1,2746271.4,7388580.9,85.3,130,83.6,128.2
K-12 School,2.5,55,72489,453.6,6.3,1194634.3,4797875.4,82.7,115.6,78.9,111.7
Multifamily Housing,4,91,82500,405.3,4.9,1372712.4,3331524.7,57,89,55.1,86
Multifamily Housing,1.5,33,157229,1393.9,8.9,5398616.5,9334298.5,93.7,158.5,91,153.9
Multifamily Housing,4,90,67800,315.5,4.7,1024606.5,2729878.3,55.4,84.6,54.8,83
Multifamily Housing,1,25,50477,614.7,12.2,2903923.2,2477276.9,106.6,212.6,105.2,208
Multifamily Housing,1,25,334983,2889.2,8.6,7560852.1,30712694.6,114.3,159.5,115.9,161.2
K-12 School,1,9,76920,875.4,11.4,3974236.2,4033625.7,104.1,199.7,102.8,198.4
Multifamily Housing,3.5,54,444928,3063.3,6.9,16384659.4,6353676,51.1,118.1,49.4,113.1
Multifamily Housing,4,80,407616,2655.5,6.5,10062919.5,18476822.4,70,116.7,70,115.2
Hotel,4,71,258082.2,2233.1,8.7,8452052.9,15570071,93.1,155,92,153.9
Hotel,3.5,58,385000,3908.5,10.2,16382312,22273060,100.4,179.9,99.4,178.6
Multifamily Housing,4,83,51000,299.4,5.9,1065257.1,2299949.8,66,105.8,65.5,103.9
